Country Name,Country Code,Region,初等教育投入比例,中等教育投入比例,高等教育投入比例,教育投入占GDP比例
Afghanistan,AFG,South Asia,48.66063933,33.743408,17.59595267,2.5291875
Albania,ALB,Europe & Central Asia,56.39164333,25.25329267,18.355064,3.368113158
Algeria,DZA,Middle East & North Africa,41.579175,38.22256167,20.19826333,6.038816667
American Samoa,ASM,East Asia & Pacific,81.92972667,1.721363333,16.34891,14.62928
Andorra,AND,Europe & Central Asia,25.39358643,69.49644214,5.109971429,2.7144075
Angola,AGO,Sub-Saharan Africa,33.966135,58.961683,7.072182,3.48362
Antigua and Barbuda,ATG,Latin America & Caribbean,34.42462,55.86351667,9.711863333,2.888496667
Argentina,ARG,Latin America & Caribbean,30.4951341,46.62506,22.8798059,3.317577179
Armenia,ARM,Europe & Central Asia,19.637456,68.46746218,11.89508182,2.6943615
Aruba,ABW,Latin America & Caribbean,26.08180667,58.52721917,15.39097417,5.506270588
Australia,AUS,East Asia & Pacific,33.41576824,39.59930543,26.98492633,5.152102
Austria,AUT,Europe & Central Asia,19.18142378,59.00273022,21.815846,5.255458667
Bahrain,BHR,Middle East & North Africa,43.71859333,45.31623167,10.965175,2.566385
Bangladesh,BGD,South Asia,45.5693132,41.89992902,12.53075778,1.726993333
Barbados,BRB,Latin America & Caribbean,28.98861187,44.33307378,26.67831435,5.521395263
Belgium,BEL,Europe & Central Asia,22.859447,57.19730967,19.94324333,5.505539583
Belize,BLZ,Latin America & Caribbean,43.31859545,46.64654182,10.03486273,6.093446154
Benin,BEN,Sub-Saharan Africa,52.512494,27.22908933,20.25841667,3.772832
Bermuda,BMU,North America,33.96546923,47.95087077,18.08366,2.191334667
Bhutan,BTN,South Asia,23.00745154,65.97752346,11.015025,5.865351429
Botswana,BWA,Sub-Saharan Africa,39.27757571,44.34654143,16.37588286,5.993343333
Brazil,BRA,Latin America & Caribbean,31.66969667,49.01536889,19.31493444,4.942773889
British Virgin Islands,VGB,Latin America & Caribbean,34.82583818,43.59528515,21.57887667,4.928734545
