Country Name,Country Code,Region,year,高中及以上受教育人口比例,人均GDP（美元),人口
Afghanistan,AFG,South Asia,1994.5,3,341.9373,19690326.69
Albania,ALB,Europe & Central Asia,1994.5,41.4258725,2167.461166,2882408.878
Algeria,DZA,Middle East & North Africa,1994.5,16.53707,2497.070882,27564531.35
Andorra,AND,Europe & Central Asia,1994.5,47.57743333,22064.87994,57852.2449
Angola,AGO,Sub-Saharan Africa,1994.5,15.86353,1815.208356,15115469.55
Argentina,ARG,Latin America & Caribbean,1994.5,38.22499,6060.480306,34146923.94
Armenia,ARM,Europe & Central Asia,1994.5,88.4386925,1958.297438,3062175.857
Aruba,ABW,Latin America & Caribbean,1994.5,32.11752,19574.81591,79591.04082
Australia,AUS,East Asia & Pacific,1994.5,71.945502,25216.88543,18124814.37
Austria,AUT,Europe & Central Asia,1994.5,71.43897769,25332.32184,7945422.204
Azerbaijan,AZE,Europe & Central Asia,1994.5,87.27704833,2881.380721,7515653
"Bahamas, The",BHS,Latin America & Caribbean,1994.5,76.40964,17288.78743,275918.551
Bahrain,BHR,Middle East & North Africa,1994.5,53.455462,14464.45964,687090.6735
Bangladesh,BGD,South Asia,1994.5,23.475994,470.3595751,112352534
Barbados,BRB,Latin America & Caribbean,1994.5,24.20573,9678.388178,265119.102
Belarus,BLR,Europe & Central Asia,1994.5,84.8541,3660.276414,9729162.306
Belgium,BEL,Europe & Central Asia,1994.5,58.46876,24109.33378,10268927.06
Belize,BLZ,Latin America & Caribbean,1994.5,36.82702,2665.275673,224879.6939
Benin,BEN,Sub-Saharan Africa,1994.5,1.1,451.7363449,6214276.306
Bermuda,BMU,North America,1994.5,83.13473667,39022.74025,59666.65306
Bhutan,BTN,South Asia,1994.5,5.50574,1201.347392,538058.3469
Bolivia,BOL,Latin America & Caribbean,1994.5,33.99296875,1211.031361,7637591.694
Bosnia and Herzegovina,BIH,Europe & Central Asia,1994.5,49.327302,3249.485844,3921892.776
Botswana,BWA,Sub-Saharan Africa,1994.5,1.28277,3355.625643,1414273.184
Brazil,BRA,Latin America & Caribbean,1994.5,37.108676,4503.867271,156688842.1
Bulgaria,BGR,Europe & Central Asia,1994.5,69.8180025,3795.641308,8218288.898
Burkina Faso,BFA,Sub-Saharan Africa,1994.5,2.43597,333.3927955,10798724.94
Burundi,BDI,Sub-Saharan Africa,1994.5,3.32538,183.8130129,6227574.98
Cabo Verde,CPV,Sub-Saharan Africa,1994.5,20.03713,1819.734567,384835.2449
Cambodia,KHM,East Asia & Pacific,1994.5,7.012786,562.6540371,10650398.63
Cameroon,CMR,Sub-Saharan Africa,1994.5,18.17227,893.2329163,14036940.63
Canada,CAN,North America,1994.5,67.97577833,24556.3798,28950108.53
Cayman Islands,CYM,Latin America & Caribbean,1994.5,82.2885925,75463.62846,34079.63265
Central African Republic,CAF,Sub-Saharan Africa,1994.5,1.6407,341.7570265,3197458.878
Chad,TCD,Sub-Saharan Africa,1994.5,5.3122,392.2139286,7815523.551
Chile,CHL,Latin America & Caribbean,1994.5,53.29692625,5730.239927,14103964.45
China,CHN,East Asia & Pacific,1994.5,14.48194,1945.929578,1157651735
Colombia,COL,Latin America & Caribbean,1994.5,39.46480333,2817.438629,35577429.55
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,1994.5,23.55556,327.0642653,43633515.18
"Congo, Rep.",COG,Sub-Saharan Africa,1994.5,8.77368,1272.271414,2877602.857
Costa Rica,CRI,Latin America & Caribbean,1994.5,34.230471,4060.509529,3438449.449
Cote d'Ivoire,CIV,Sub-Saharan Africa,1994.5,11.25306,923.6493204,14014805.84
Croatia,HRV,Europe & Central Asia,1994.5,65.153975,10367.29154,4471663.49
