name,group,year,value
China,East Asia & Pacific,1970,157.1539846
China,East Asia & Pacific,1971,164.7803892
China,East Asia & Pacific,1972,211.6415259
China,East Asia & Pacific,1973,259.3279741
China,East Asia & Pacific,1974,282.0307371
China,East Asia & Pacific,1975,304.6969653
China,East Asia & Pacific,1976,300.4706691
China,East Asia & Pacific,1977,324.4046055
China,East Asia & Pacific,1978,306.3555242
China,East Asia & Pacific,1979,395.2051128
China,East Asia & Pacific,1980,372.4471059
China,East Asia & Pacific,1981,384.0549099
China,East Asia & Pacific,1982,413.6807874
China,East Asia & Pacific,1983,468.2040217
China,East Asia & Pacific,1984,501.0845218
China,East Asia & Pacific,1985,591.3144946
China,East Asia & Pacific,1986,581.2088746
China,East Asia & Pacific,1987,454.331801
China,East Asia & Pacific,1988,500.2115396
China,East Asia & Pacific,1989,548.4516303
China,East Asia & Pacific,1990,560.80583
China,East Asia & Pacific,1991,587.72263
China,East Asia & Pacific,1992,606.3312158
China,East Asia & Pacific,1993,625.6556799
China,East Asia & Pacific,1994,940.218395
China,East Asia & Pacific,1995,1122.938869
China,East Asia & Pacific,1996,1314.820443
China,East Asia & Pacific,1997,1448.876883
China,East Asia & Pacific,1998,1528.175874
China,East Asia & Pacific,1999,1648.800976
China,East Asia & Pacific,2000,1811.333655
China,East Asia & Pacific,2001,1988.310028
China,East Asia & Pacific,2002,2168.429044
China,East Asia & Pacific,2003,2433.00953
China,East Asia & Pacific,2004,2848.425531
China,East Asia & Pacific,2005,3310.523321
China,East Asia & Pacific,2006,3963.428321
China,East Asia & Pacific,2007,5086.323119
China,East Asia & Pacific,2008,6548.296684
China,East Asia & Pacific,2009,7235.414857
China,East Asia & Pacific,2010,8591.43917
China,East Asia & Pacific,2011,10607.25794
China,East Asia & Pacific,2012,11926.59575
China,East Asia & Pacific,2013,13311.90167
China,East Asia & Pacific,2014,14446.08506
China,East Asia & Pacific,2015,15167.35788
China,East Asia & Pacific,2016,15253.07867
China,East Asia & Pacific,2017,16537.42166
China,East Asia & Pacific,2018,18447.74997
"Hong Kong SAR, China",East Asia & Pacific,1970,2273.499781
"Hong Kong SAR, China",East Asia & Pacific,1971,2620.286931
"Hong Kong SAR, China",East Asia & Pacific,1972,3178.8184
"Hong Kong SAR, China",East Asia & Pacific,1973,4133.5146
"Hong Kong SAR, China",East Asia & Pacific,1974,5061.896816
"Hong Kong SAR, China",East Asia & Pacific,1975,5515.87271
"Hong Kong SAR, China",East Asia & Pacific,1976,6935.1125
"Hong Kong SAR, China",East Asia & Pacific,1977,7610.706041
"Hong Kong SAR, China",East Asia & Pacific,1978,9113.556137
"Hong Kong SAR, China",East Asia & Pacific,1979,10612.78539
"Hong Kong SAR, China",East Asia & Pacific,1980,12496.10335
"Hong Kong SAR, China",East Asia & Pacific,1981,13610.66138
"Hong Kong SAR, China",East Asia & Pacific,1982,10242.37654
"Hong Kong SAR, China",East Asia & Pacific,1983,14427.87297
"Hong Kong SAR, China",East Asia & Pacific,1984,16027.71498
"Hong Kong SAR, China",East Asia & Pacific,1985,16743.1667
"Hong Kong SAR, China",East Asia & Pacific,1986,19026.02128
"Hong Kong SAR, China",East Asia & Pacific,1987,23213.26901
"Hong Kong SAR, China",East Asia & Pacific,1988,27150.03196
"Hong Kong SAR, China",East Asia & Pacific,1989,30957.85609
"Hong Kong SAR, China",East Asia & Pacific,1990,33256.55534
"Hong Kong SAR, China",East Asia & Pacific,1991,38140.20269
"Hong Kong SAR, China",East Asia & Pacific,1992,50840.93933
"Hong Kong SAR, China",East Asia & Pacific,1993,57682.60966
"Hong Kong SAR, China",East Asia & Pacific,1994,63641.79676
"Hong Kong SAR, China",East Asia & Pacific,1995,66455.60122
"Hong Kong SAR, China",East Asia & Pacific,1996,67711.60683
"Hong Kong SAR, China",East Asia & Pacific,1997,74564.79415
"Hong Kong SAR, China",East Asia & Pacific,1998,70414.87094
"Hong Kong SAR, China",East Asia & Pacific,1999,68457.85418
"Hong Kong SAR, China",East Asia & Pacific,2000,70272.15304
"Hong Kong SAR, China",East Asia & Pacific,2001,98491.20981
"Hong Kong SAR, China",East Asia & Pacific,2002,99046.86793
"Hong Kong SAR, China",East Asia & Pacific,2003,102748.7238
"Hong Kong SAR, China",East Asia & Pacific,2004,113646.2108
"Hong Kong SAR, China",East Asia & Pacific,2005,110186.8558
